created_at	screen_name	text
Fri Nov 18 23:34:25 +0000 2016	jayantsjy	RT @RealHistoryPic: Can't say anything about Productivity but Creativity has increased after #Demonetization.(2016) https://t.co/0fMh3UMbVq
Fri Nov 18 23:34:04 +0000 2016	UdtaGujju	RT @jgopikrishnan70: Then why not 1000 notes also....really hit by #demonetization https://t.co/k37rKRQip7
Fri Nov 18 23:33:54 +0000 2016	beingriazshq	RT @kavita_krishnan: Modi cracks joke re common citizens' weddings hit by #demonetization - corrupt Reddy bro hosts multicrore wedding http…
Fri Nov 18 23:33:45 +0000 2016	rahulelectra	@IbrahimTasleem #Respect We all have to work for Great Indian Again. #demonetization
Fri Nov 18 23:33:23 +0000 2016	_iMavericks	"RT @InsideIIM: E-Wallets – The Future Ahead, Post Demonetisation - @eighth_samurai @Paytm
#eWallet #demonetization #gocashless
https://t.co…"
Fri Nov 18 23:32:57 +0000 2016	i_AmitKumar	RT @prasarbharati: #Demonetization: Cash to be dispensed at 2500 petrol pumps; Cash to be given by swiping of debit/credit card via POS mac…
Fri Nov 18 23:32:30 +0000 2016	look4rohit	Government should have acted tough on them first before #demonetization https://t.co/5emkbZ85AY
Fri Nov 18 23:32:30 +0000 2016	look4rohit	Government should have acted tough on them first before #demonetization https://t.co/5emkbZ85AY
Fri Nov 18 23:32:18 +0000 2016	deepab1711	"RT @anilkapur_: Why @Zakka_Jacob, @bhupendrachaube are ranting on @CNNnews18 against #demonetization
Pic1:Ambani -@ArvindKejriwal-nexus
Pic…"
Fri Nov 18 23:31:39 +0000 2016	Akkerz	"Forza 🇮🇳
#demonetization https://t.co/43NlKQczSb"
Fri Nov 18 23:31:28 +0000 2016	response_vasi	#demonetization More Pain than Gain
Fri Nov 18 23:31:09 +0000 2016	SRoyChowdhury01	Have been saying this for ages and this #demonetization thing-y is proving: #India 's bureaucracy is too *small* fo… https://t.co/vPAq8PnpRp
Fri Nov 18 23:30:53 +0000 2016	kaushikburman	@BDUTT @ArvindKejriwal my 65 year old Father, stood in Q for 2 hrs, supports the initiative. #demonetization #DeMonetisationResponse
Fri Nov 18 23:30:41 +0000 2016	mannan2win	RT @RealHistoryPic: Can't say anything about Productivity but Creativity has increased after #Demonetization.(2016) https://t.co/0fMh3UMbVq
Fri Nov 18 23:30:30 +0000 2016	nanuramu	RT @MalleshBelavadi: Saw some petition requesting to postpone IBPS MAINS Exam due 2 #demonetization.Better 2 close this IBPS itself which f…
Fri Nov 18 23:30:10 +0000 2016	paagalpogba	RT @bhaiyyajispeaks: Here @sardesairajdeep struggling for one answer against #Demonetization, He should have taken some Congress leader lik…
Fri Nov 18 23:29:52 +0000 2016	GSJha7	RT @jana0935: @meerasanyal When it floods, there is water everywhere but cannot drink it. With #demonetization there is cash everywhere but…
Fri Nov 18 23:29:23 +0000 2016	girishhyd	RT @ANI_news: Aam Aadmi Party naraz ho sakti hai, par aam aadmi naraz nahi hai: Union Minister Venkaiah Naidu #demonetization https://t.co/…
Fri Nov 18 23:29:10 +0000 2016	iAnilSingh	"RT @shailendrat: #DomexIndia क्या आप टॉयलेट के साथ साथ #Aaptards के दिमाग भी साफ़ कर सकते हैं?😊😊😊

ये लोग #demonetization का विरोध कर रहे…"
Fri Nov 18 23:28:40 +0000 2016	narendrapjoshi	"It seems @narendramodi has hurt many of his overseas supporters because of #demonetization 
Probably worried for Benami property ?"
Fri Nov 18 23:28:33 +0000 2016	madonionslicer	Let's provide seating for tired folks outside ATMs. What a brilliant idea. Love it when brands jump on things like… https://t.co/Jt3OShAN3g
Fri Nov 18 23:28:32 +0000 2016	sahilyagnik	#demonetization a good n brave decision but poorly implemented by bereaucrats https://t.co/QAiESQgIvB
Fri Nov 18 23:28:30 +0000 2016	anuraggarg11	RT @ppurva: #Demonetization Somebody pushes you into water, you scream for help, they tell you they've joined swimming classes, adjust till…
Fri Nov 18 23:28:18 +0000 2016	merimomma	"RT @devyanidilli: When one uses mouth and anus for same purpose

#demonetization https://t.co/6FY3MSHsH2"
Fri Nov 18 23:28:12 +0000 2016	natthilalbhatt1	"मोदी जी की धाक देखी कैश तो ठीक है..
अमरिका ने अपना राष्ट्रपति भी ब्लैक से व्हाइट कर दिया😂
#demonetization #GloryDays https://t.co/ChTQ3mGtyO"
Fri Nov 18 23:27:32 +0000 2016	godbole_shilpa	"@MinhazMerchant @Dev_Fadnavis @suhelseth 
For #demonetization drive to succeed, call it freedom revolution
https://t.co/UWnsJe1PMk"
Fri Nov 18 23:27:29 +0000 2016	shaunakbangale	@AshokKhemka_IAS , sir, is this a good,scalable solution for easing the load on banks? https://t.co/2Jz45YdvFe #demonetization #noteban
Fri Nov 18 23:27:10 +0000 2016	paagalpogba	RT @kanimozhi: Thanks to #demonetization 75% reduction in crime rate in India. Black money seems to be the sole reason 4 all problems in In…
Fri Nov 18 23:26:49 +0000 2016	MediaBytes_	"Anna Hazare tells @CNNnews18 #demonetization is ""a historic decision by govt"
Fri Nov 18 23:26:30 +0000 2016	asitava2k	If judiciary stay #demonetization can President over rule it?What gov can do,emergency? Dr @Swamy39 sir can you pl enlighten us, worried
Fri Nov 18 23:26:16 +0000 2016	YiAOrg	"RT @MinhazMerchant: Anna Hazare tells @CNNnews18 #demonetization is ""a historic decision by govt, those with black money against move."" And…"
Fri Nov 18 23:25:44 +0000 2016	hasibrock	#ignorant media, Why do u seek #Rich #celebs opinion? They nvr go2 #ATM, it's the middle class and poor who should b asked! #demonetization
Fri Nov 18 23:25:15 +0000 2016	Rajan_ptt	"RT @NY_IH: Grim faces here tells who hit the most &amp; how great was to introduce #demonetization 
@mediacrooks https://t.co/ODPGPhJUSj"
Fri Nov 18 23:24:47 +0000 2016	Rakeshkuma16	RT @PyAshish: #demonetization is the best way to deal with #BlackMoney. That I studied in school book. Aren't you Mr. @ArvindKejriwal
Fri Nov 18 23:24:35 +0000 2016	Rakeshkuma16	RT @kanimozhi: Thanks to #demonetization 75% reduction in crime rate in India. Black money seems to be the sole reason 4 all problems in In…
Fri Nov 18 23:24:30 +0000 2016	AF_indian	RS.10 gets - 4m ur mob bal u scream. When @MamataOfficial &amp; @ArvindKejriwal have lost 1000s cr u xpect em 2 b quiet #India #demonetization
Fri Nov 18 23:24:18 +0000 2016	bpsinngh	"RT @myvotetoday: #demonetization  #SemiFinals 2/3

वोट करिये और बताइये #PMModi की इस पहल से किस राजनीतिक दल पर सबसे अधिक प्रभाव पड़ेगा? htt…"
Fri Nov 18 23:24:15 +0000 2016	rahulelectra	RT @FollowCII: .#Demonetization of higher value currency: Such an initiative was recommended by CII several times in the past.
Fri Nov 18 23:24:03 +0000 2016	bpsinngh	"RT @BJPInNews: Fmr RBI Governor Subbarao hails Modi Govt’s #demonetization to curb black money
https://t.co/drcVh98vVB 
@VA_PointOfView @IN…"
Fri Nov 18 23:23:43 +0000 2016	theri_vinoth	"RT @AlwaysKNA: மக்கள் பிரச்சனைகளுக்காக குரல் கொடுப்பது இவருக்கு ஒன்றும் புதிதல்ல

#Ilayathalapathy #AnnaHazare #demonetization https://t.co…"
Fri Nov 18 23:23:41 +0000 2016	DhumalRaoAditya	RT @TheOfficialSBI: As of today, 33000 thousand ATMs are functioning. - SBI Chairman, Smt. Arundhati Bhattacharya. #Demonetization
Fri Nov 18 23:23:39 +0000 2016	anuraggarg11	RT @RealHistoryPic: Can't say anything about Productivity but Creativity has increased after #Demonetization.(2016) https://t.co/0fMh3UMbVq
Fri Nov 18 23:23:37 +0000 2016	tussharag	@AisiTaisiDemo @varungrover u r being missed on #noteban #demonetization Looking forward for ur take on it.
Fri Nov 18 23:23:34 +0000 2016	rahulelectra	"RT @AdityaNair20: First time in 29years, our Milkman asked for a check!
#demonetization 💜

@narendramodi @TarekFatah @PrasadAol @rashminp @…"
Fri Nov 18 23:22:52 +0000 2016	rahulelectra	RT @GabbbarSingh: I am not a sanghi or something, but I truly believe in this #Demonetization move, implementation may be faulty, but they…
Fri Nov 18 23:22:47 +0000 2016	djmanish_mehta	RT @ashtrix29: We are struggling to print notes &amp; China has already made purses. #demonetization talk abt secrecy or being adaptable *discl…
Fri Nov 18 23:21:57 +0000 2016	DhumalRaoAditya	RT @GabbbarSingh: I am not a sanghi or something, but I truly believe in this #Demonetization move, implementation may be faulty, but they…
Fri Nov 18 23:21:55 +0000 2016	YUGESHBABU14	RT @EconomicTimes: #demonetization: One-day ban on note exchange tomorrow, only senior citizens to be allowed: Sources https://t.co/t96yxJH…
Fri Nov 18 23:21:40 +0000 2016	MithilaBikash	"RT @devyanidilli: When one uses mouth and anus for same purpose

#demonetization https://t.co/6FY3MSHsH2"
Fri Nov 18 23:21:29 +0000 2016	AmitBhartia	@PMOIndia 500 rupee is equivalent of 50 rupee during last demonetization #demonetization https://t.co/fD3U9uiU4f
Fri Nov 18 23:21:23 +0000 2016	charusavala	RT @prashantktm: Voices from the ground in UP - on #demonetization. Women complain, yet support move in Jaunpur. https://t.co/2cqfAnzBhd
Fri Nov 18 23:21:22 +0000 2016	ANOOP369852	RT @PHashani: Hats Off to such people, while few stupids are counting deaths and co-relating it to #DeMonetization. Wake Up India. The chan…
Fri Nov 18 23:21:05 +0000 2016	anuraggarg11	RT @RoflGandhi_: नोएडा में 20 फ्लैटों के मालिक एवं 5 स्टार एंकर @abhisar_sharma ने किया #demonetization का गुणगान https://t.co/ZdbZu4Nx9s
Fri Nov 18 23:20:48 +0000 2016	TravelHunk94	"RT @Life_of_Pri: #Demonetization: If it is a ""Moral Crusade"", why didn't PM Modi ensure that Janardhana Reddys are shown their place...????…"
Fri Nov 18 23:20:36 +0000 2016	sachinsam2003	RT @MVenkaiahNaidu: #Demonetization is a massive national project launched to clean up our systems.It’s a war on corruption and black money…
Fri Nov 18 23:20:31 +0000 2016	drsatya74	"RT @rajsan2016: Pic1: Bal Kejriwal (Before #demonetization )

Pic 2: Lal Kejriwal (After #demonetization ) https://t.co/CFknGPaBJl"
Fri Nov 18 23:20:22 +0000 2016	DhumalRaoAditya	RT @sudarsansand: My humble appeal to all to pl have patience and draw what they need from ATMs during this #Demonetization phase. My SandA…
Fri Nov 18 23:20:18 +0000 2016	zimbabao	RT @dhaval241086: All local bodies elections were held last yr in Nov'15 still Outlook twisting it to link with #demonetization . What desp…
Fri Nov 18 23:20:07 +0000 2016	Princerk15K	"RT @Coffeeliciious: Hey black money holders,  save your ass asap... I mean assets. Now you will be in jail soon. 😂😂😂

#demonetization 
 #Se…"
Fri Nov 18 23:19:59 +0000 2016	prayag	RT @KMariyanka: #Congress doing more bad to itself than good by protesting #demonetization. It has ended up showing itself as a party that…
Fri Nov 18 23:19:59 +0000 2016	kouragav	"RT @anilkapur_: Why @Zakka_Jacob, @bhupendrachaube are ranting on @CNNnews18 against #demonetization
Pic1:Ambani -@ArvindKejriwal-nexus
Pic…"
Fri Nov 18 23:19:41 +0000 2016	BeingZahidKhan	RT @RealHistoryPic: Can't say anything about Productivity but Creativity has increased after #Demonetization.(2016) https://t.co/0fMh3UMbVq
