title,date,days,tokens,stem,lemma,pos_tags,named_entities
Minecraft to run artificial intelligence experiments,4 points by bsadeghi 8 days ago  | discuss,8,"minecraft,run,artificial,intelligence,experiments",Minecraft to run artificial intelligence experi,Minecraft to run artificial intelligence experiments,"[('Minecraft', 'NN'), ('to', 'TO'), ('run', 'VB'), ('artificial', 'JJ'), ('intelligence', 'NN'), ('experiments', 'NNS')]",['Minecraft']
Deep Q-Learning (Space Invaders),4 points by pmigdal 8 days ago  | discuss,8,"deep,q,learning,space,invaders",Deep Q-Learning (Space Invaders),Deep Q-Learning (Space Invaders),"[('Deep', 'NNP'), ('Q', 'NNP'), ('-', ':'), ('Learning', 'NNP'), ('(', '('), ('Space', 'NNP'), ('Invaders', 'NNP'), (')', ')')]","['Deep', 'Space Invaders']"
Theano Tutorial,2 points by pmigdal 5 days ago  | discuss,5,"theano,tutorial",Theano Tutori,Theano Tutorial,"[('Theano', 'NNP'), ('Tutorial', 'NNP')]",['Theano Tutorial']
Computing Classification Evaluation Metrics in R,3 points by lefish 7 days ago  | discuss,7,"computing,classification,evaluation,metrics,r",Computing Classification Evaluation Metrics in R,Computing Classification Evaluation Metrics in R,"[('Computing', 'VBG'), ('Classification', 'NNP'), ('Evaluation', 'NNP'), ('Metrics', 'NNP'), ('in', 'IN'), ('R', 'NNP')]",[]
The Personality Space of Cartoon Characters,3 points by lefish 7 days ago  | discuss,7,"personality,space,cartoon,characters",The Personality Space of Cartoon Charact,The Personality Space of Cartoon Characters,"[('The', 'DT'), ('Personality', 'NNP'), ('Space', 'NNP'), ('of', 'IN'), ('Cartoon', 'NNP'), ('Characters', 'NNS')]","['Personality Space', 'Cartoon']"
Announcing Apache Flink 1.0.0,11 points by mxm 14 days ago  | discuss,14,"announcing,apache,flink,1,0,0",Announcing Apache Flink 1.0.0,Announcing Apache Flink 1.0.0,"[('Announcing', 'VBG'), ('Apache', 'NNP'), ('Flink', 'NNP'), ('1', 'CD'), ('.', '.'), ('0', 'CD'), ('.', '.'), ('0', 'CD')]",['Apache']
Bayesian Reasoning in The Twilight Zone!,2 points by Homunculiheaded 5 days ago  | discuss,5,"bayesian,reasoning,twilight,zone",Bayesian Reasoning in The Twilight Zone!,Bayesian Reasoning in The Twilight Zone!,"[('Bayesian', 'JJ'), ('Reasoning', 'NNP'), ('in', 'IN'), ('The', 'DT'), ('Twilight', 'NNP'), ('Zone', 'NN'), ('!', '.')]","['Bayesian Reasoning', 'Twilight Zone']"
Bayesian Estimation of G Train Wait Times,7 points by jamesdreiss 12 days ago  | discuss,12,"bayesian,estimation,g,train,wait,times",Bayesian Estimation of G Train Wait Tim,Bayesian Estimation of G Train Wait Times,"[('Bayesian', 'JJ'), ('Estimation', 'NNP'), ('of', 'IN'), ('G', 'NNP'), ('Train', 'NNP'), ('Wait', 'NNP'), ('Times', 'NNP')]",['Bayesian Estimation']
Some experiments into explaining complex black box ensemble predictions,2 points by lefish 6 days ago  | discuss,6,"experiments,explaining,complex,black,box,ensemble,predictions",Some experiments into explaining complex black box ensemble predict,Some experiments into explaining complex black box ensemble predictions,"[('Some', 'DT'), ('experiments', 'NNS'), ('into', 'IN'), ('explaining', 'VBG'), ('complex', 'JJ'), ('black', 'JJ'), ('box', 'NN'), ('ensemble', 'JJ'), ('predictions', 'NNS')]",[]
Creating a Hadoop Pseudo-Distributed Environment,2 points by lefish 6 days ago  | discuss,6,"creating,hadoop,pseudo,distributed,environment",Creating a Hadoop Pseudo-Distributed Environ,Creating a Hadoop Pseudo-Distributed Environment,"[('Creating', 'VBG'), ('a', 'DT'), ('Hadoop', 'NNP'), ('Pseudo', 'NNP'), ('-', ':'), ('Distributed', 'VBD'), ('Environment', 'JJ')]",['Hadoop Pseudo']
